%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1406123642784713983,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642794847011,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642804881095,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642815036058,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642824685096,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642834528923,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642844839096,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642854773998,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642865111112,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642875006914,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642884845972,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642894958972,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642904798030,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642914872884,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642924736022,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642934550046,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642944575071,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642954472064,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642964416027,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642974488973,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642984571933,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642994594097,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643004787921,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643015031099,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643024723052,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643034816026,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643044936895,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643054941892,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643064583063,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643074986934,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643084861040,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643094926118,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643104816913,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643115035057,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643124959945,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643134588956,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643144434928,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643154465913,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643164520025,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643174873113,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643184875011,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643195080041,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643205001115,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643215069055,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643224816083,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643234841108,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643245042085,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643254861116,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643264992952,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643274625062,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643284903049,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643295083045,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643304958105,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643314820051,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643324573040,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643334551095,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643344497919,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643354520082,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643364476919,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643374525070,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643384896039,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643395082950,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643404917955,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643414603948,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643424685955,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643434576988,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643444854021,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643454744100,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643464632987,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643475116968,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123643484513044,0.0,0.0,0.0,1.0,1.0,19.7205200573
